!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.53993e+05   1.00000e+00   4.30103e+00   1.09724e+00   9.67868e-01   
1.65482e+05   1.00000e+00   4.30103e+00   1.09433e+00   9.67867e-01   
1.77828e+05   1.00000e+00   4.30103e+00   1.09179e+00   9.67865e-01   
1.91095e+05   1.00000e+00   4.30103e+00   1.08956e+00   9.67864e-01   
2.05353e+05   1.00000e+00   4.30103e+00   1.08763e+00   9.67863e-01   
2.20673e+05   1.00000e+00   4.30103e+00   1.08596e+00   9.67863e-01   
2.37137e+05   1.00000e+00   4.30103e+00   1.08453e+00   9.67862e-01   
2.54830e+05   1.00000e+00   4.30103e+00   1.08333e+00   9.67861e-01   
2.73842e+05   1.00000e+00   4.30103e+00   1.08233e+00   9.67861e-01   
2.94273e+05   1.00000e+00   4.30103e+00   1.08151e+00   9.67861e-01   
3.16228e+05   1.00000e+00   4.30103e+00   1.08088e+00   9.67860e-01   
3.39821e+05   1.00000e+00   4.30103e+00   1.08041e+00   9.67860e-01   
3.65174e+05   1.00000e+00   4.30103e+00   1.08013e+00   9.67860e-01   
3.92419e+05   1.00000e+00   4.30103e+00   1.08001e+00   9.67860e-01   
4.21697e+05   1.00000e+00   4.30103e+00   1.08009e+00   9.67860e-01   
4.53158e+05   1.00000e+00   4.30103e+00   1.08037e+00   9.67860e-01   
4.86968e+05   1.00000e+00   4.30103e+00   1.08085e+00   9.67860e-01   
5.23299e+05   1.00000e+00   4.30103e+00   1.08155e+00   9.67861e-01   
5.62341e+05   1.00000e+00   4.30103e+00   1.08247e+00   9.67861e-01   
6.04296e+05   1.00000e+00   4.30103e+00   1.08362e+00   9.67862e-01   
6.49382e+05   1.00000e+00   4.30103e+00   1.08498e+00   9.67862e-01   
6.97831e+05   1.00000e+00   4.30103e+00   1.08654e+00   9.67863e-01   
7.49894e+05   1.00000e+00   4.30103e+00   1.08827e+00   9.67864e-01   
8.05842e+05   1.00000e+00   4.30103e+00   1.09013e+00   9.67865e-01   
8.65964e+05   1.00000e+00   4.30103e+00   1.09207e+00   9.67866e-01   
9.30572e+05   1.00000e+00   4.30103e+00   1.09405e+00   9.67866e-01   
1.00000e+06   1.00000e+00   4.30103e+00   1.09603e+00   9.67867e-01   
1.07461e+06   1.00000e+00   4.30103e+00   1.09791e+00   9.67868e-01   
1.15478e+06   1.00000e+00   4.30103e+00   1.09968e+00   9.67869e-01   
1.24094e+06   1.00000e+00   4.30103e+00   1.10127e+00   9.67870e-01   
1.33352e+06   1.00000e+00   4.30103e+00   1.10269e+00   9.67871e-01   
1.43301e+06   1.00000e+00   4.30103e+00   1.10397e+00   9.67871e-01   
1.53993e+06   1.00000e+00   4.30103e+00   1.10509e+00   9.67872e-01   
1.65482e+06   1.00000e+00   4.30103e+00   1.10608e+00   9.67872e-01   
1.77828e+06   1.00000e+00   4.30103e+00   1.10692e+00   9.67873e-01   
1.91095e+06   1.00000e+00   4.30103e+00   1.10759e+00   9.67873e-01   
2.05353e+06   1.00000e+00   4.30103e+00   1.10810e+00   9.67873e-01   
2.20673e+06   1.00000e+00   4.30103e+00   1.10846e+00   9.67874e-01   
2.37137e+06   1.00000e+00   4.30103e+00   1.10869e+00   9.67874e-01   
2.54830e+06   1.00000e+00   4.30103e+00   1.10881e+00   9.67874e-01   
2.73842e+06   1.00000e+00   4.30103e+00   1.10886e+00   9.67874e-01   
2.94273e+06   1.00000e+00   4.30103e+00   1.10885e+00   9.67874e-01   
3.16228e+06   1.00000e+00   4.30103e+00   1.10880e+00   9.67874e-01   
3.39821e+06   1.00000e+00   4.30103e+00   1.10872e+00   9.67874e-01   
3.65174e+06   1.00000e+00   4.30103e+00   1.10863e+00   9.67874e-01   
3.92419e+06   1.00000e+00   4.30103e+00   1.10851e+00   9.67874e-01   
4.21697e+06   1.00000e+00   4.30103e+00   1.10839e+00   9.67874e-01   
4.53158e+06   1.00000e+00   4.30103e+00   1.10825e+00   9.67873e-01   
4.86968e+06   1.00000e+00   4.30103e+00   1.10811e+00   9.67873e-01   
